user_id,email,signup_date,country
u4_0000,vikramnair0@corpio,2026-05-15,US
u4_0001,arjun.bose1@example.com,2026-03-13,SG
u4_0002,ravi.gupta2@corp.io,2026-07-28,IN
u4_0003,meera.reddy3@corp.io,2026-05-13,AU
u4_0004,meera.gupta4@mail.co,2026-04-11,US
u4_0005,ravi.iyer5@mail.co,2026-02-25,SG
u4_0006,karthik.menon6@iitm.ac.in,2026-08-11,US
u4_0007,asha.rao7@iitm.ac.in,2026-09-21,SG
u4_0008,ravi.nair8iitm.ac.in,2026-02-18,SG
u4_0009,@mail.co,2026-03-17,SG
u4_0010,karthik.gupta10@example.com,2026-04-14,US
u4_0011,meera.nair11@corp.io,2026-04-14,SG
u4_0012,karthik.iyer12@corp.io,2026-09-20,SG
u4_0013,arjun.gupta13@mail.co,2026-08-16,US
u4_0014,arjun.sharma14@corp.io,2026-05-23,
u4_0015,nehamenon15@corpio,2026-06-18,SG
u4_0016,meera.nair16@example.com,2026-03-10,US
u4_0017,asha.sharma17@corp.io,2026-04-28,AU
u4_0018,karthik.bose18@mail.co,2026-08-26,SG
u4_0019,arjun.reddy19@example.com,2026-07-27,AU
u4_0020,ravi.iyer20@corp.io,2026-09-20,AU
u4_0021,karthik.nair21@example.com,2026-06-12,SG
u4_0022,ravi.nair22@mail.co,2026-08-13,IN
u4_0023,arjun.iyer23@iitm.ac.in,2026-08-24,DE
u4_0024,neha.menon24@mail.co,2026-09-13,AU
u4_0025,neha.nair25@mail.co,2026-09-21,AU
u4_0026,meera.reddy26@mail.co,2026-05-20,US
u4_0027,karthik.rao27@mail.co,2026-09-16,SG
u4_0028,divya.menon28@corp.io,2026-09-17,DE
u4_0029,arjun.sharma29@iitm.ac.in,2026-06-14,AU
u4_0030,neha.bose30@iitm.ac.in,2026-09-13,DE
u4_0031,vikram.bose31@iitm.ac.in,2026-09-14,AU
u4_0032,meera.gupta32@iitm.ac.in,2026-09-19,AU
u4_0033,ravi.nair33@example.com,2026-03-19,DE
u4_0034,neha.bose34@mail.co,2026-06-10,SG
u4_0035,karthik.menon35@mail.co,2026-03-22,SG
u4_0036,neha.iyer36@example.com,2026-07-16,US
u4_0037,ravi.nair37@mail.co,2026-08-14,DE
u4_0038,karthik.menon38@corp.io,2026-02-17,DE
u4_0039,asha.menon39@example.com,2026-01-19,IN
u4_0040,neha.menon40@example.com,2026-03-14,IN
u4_0041,meera.reddy41@corp.io,2026-08-17,IN
u4_0042,divya.gupta42@corp.io,2026-04-21,IN
u4_0043,karthik.reddy43@corp.io,2026-04-10,DE
u4_0044,karthik.sharma44@mail.co,2026-03-14,DE
u4_0045,meera.menon45@example.com,2026-04-25,AU
u4_0046,ravi.nair46@mail.co,2026-04-26,
u4_0047,neha.nair47@corp.io,2026-06-26,DE
u4_0048,ravi.nair48@example.com,2026-03-22,AU
u4_0049,ravi.menon49@mail.co,2026-02-16,AU
u4_0050,arjun.sharma50@mail.co,2026-03-26,SG
u4_0051,arjun.iyer51@example.com,2026-09-10,IN
u4_0052,arjun.reddy52@mail.co,2026-05-16,SG
u4_0053,vikram.gupta53@corp.io,2026-07-22,US
u4_0054,arjun.reddy54@corp.io,2026-09-28,DE
u4_0055,meera.gupta55@corp.io,2026-06-20,SG
u4_0056,neha.iyer56@example.com,2026-05-21,DE
u4_0057,asha.bose57@corp.io,2026-03-19,IN
u4_0058,karthik.reddy58@iitm.ac.in,2026-08-25,IN
u4_0059,neha.bose59@example.com,2026-01-27,AU
